'bian'fang'xun'luo 边防巡逻
'bian'fang'yi'xian 边防一线
'bian'fang'zhan 边防站
'bian'fang'zheng'ce 边防政策
'bian'ji'he 边集合
'bian'jie 边界
'bian'jie'chong'tu 边界冲突
'bian'jie'he'liu 边界河流
'bian'jie'shi'jian 边界事件
'bian'jie'ta'cha 边界踏查
'bian'jie'xian'zhuang 边界现状
'bian'jie'xian 边界线
'bian'jing 边境
'bian'jing'di'qu 边境地区
'bian'jing'guan'cha 边境观察
'bian'jing'guan'li 边境管理
'bian'jing'jin'qu 边境禁区
'bian'jing'kan'ce 边境勘测
'bian'jing'qian'fu 边境潜伏
'bian'jing'shi 边境市
'bian'jing'xian 边境县
'bian'qian'jin 边前进
'bian'zhou 边舟
'bian'cheng 编成
'bian'dui 编队
'bian'dui'fang'yu 编队防御
'bian'dui'gong'ji 编队攻击
'bian'dui'hang'xing 编队航行
'bian'dui'xun'lian 编队训练
'bian'dui'yun'dong 编队运动
'bian'dui'zhu'li 编队主力
'bian'ma'tong'xin 编码通信
'bian'nei 编内
'bian'nei'zhi'gong 编内职工
'bian'pei'bi'li 编配比例
'bian'ru'yu'bei'yi 编入预备役
'bian'wai 编外
'bian'wai'ding'bian 编外定编
'bian'wai'zhi'gong 编外职工
'bian'zhi 编制
'bian'zhi'biao'zhun 编制标准
'bian'zhi'biao 编制表
'bian'zhi'fang'an 编制方案
'bian'zhi'jun'xian 编制军衔
'bian'zhi'xi'tong 编制系统
'bian'zhi'yuan'e 编制员额
'bian'zhi'zhi'wu 编制职务
'bian'zu 编组
'bian'zu'lian'xi 编组练习
'bian'zu'zuo'ye 编组作业
'bian'xie'shi 便携式
'bian'geng'bu'shu 变更部署
'bian'hou'lue'yi 变后掠翼
'bian'huan'zhan'shu 变换战术
'bian'xing'di 变形地
'bian'xing'de 变形地
'bian'xing'mi'cai 变形迷彩
'bian'xing'zhe'zhang 变形遮障
'biao'ding 标定
'biao'ding'di'tu 标定地图
'biao'ding'she'ji 标定射击
'biao'gao 标高
'biao'kong 标孔
'biao'shi'sheng 标示绳
'biao'shi'tong'lu 标示通路
'biao'tu 标图
'biao'zhi 标志
'biao'zhi'tan 标志弹
'biao'zhi'dan 标志弹
'biao'zhi'deng'ta 标志灯塔
'biao'zhun 标准
'biao'zhun'shi 标准时
'biao'chi 表尺
'biao'chi'ju'li 表尺距离
'biao'mian'zhan'ran 表面沾染
'bin'hai 滨海
'bin'hai'gang'kou 滨海港口
'bin'hai 濒海
'bin'hai'yi'ce 濒海翼侧
'bin'lu 濒陆
'bin'lu'hai'qu 濒陆海区
'bing'shang 冰上
'bing'shang'du'chang 冰上渡场
'bing'shang'du'he 冰上渡河
'bing'xue 冰雪
'bing'xue'zhang'ai'wu 冰雪障碍物
'bing'bu'yan'zha 兵不厌诈
'bing'fa 兵法
'bing'fei'yi'duo 兵非益多
'bing'gui'bi'yi 兵诡必疑
'bing'gui'shen'su 兵贵神速
'bing'jiao'bing 兵教兵
'bing'jiao'guan 兵教官
'bing'li 兵力
'bing'li'bian'zu 兵力编组
'bing'li'dui'bi 兵力对比
'bing'li'ji'dong 兵力机动
'bing'li'qu'fen 兵力区分
'bing'qi 兵棋
'bing'qi'zuo'ye 兵棋作业
'bing'qi'xi'tong 兵器系统
'bing'quan'gui'yi 兵权贵一
'bing'tuan 兵团
'bing'wu'chang'shi 兵无常势
'bing'yao'di'zhi 兵要地志
'bing'yi'jing'sheng 兵以静胜
'bing'yi 兵役
'bing'yi'fa 兵役法
'bing'yi'zhi'du 兵役制度
'bing'yuan 兵员
'bing'yuan'bu'tui 兵员补退
'bing'zhan 兵站
'bing'zhi'sheng'bai 兵之胜败
'bing'zhong 兵种
'bing'zhong'zhan'shu 兵种战术
'bing'she'xian 丙射线
'bing'jian'tu'ji 并肩突击
'bing'zhou'ju 并舟具
'bo'ban'jian 波瓣间
'bo'ci 波次
'bo'duan 波段
'bo'zhuang'xie'mian 波状斜面
'bu'chong'qing'kuang 补充情况
'bu'chong'ren'wu 补充任务
'bu'chong'xiang'ding 补充想定
'bu'gei 补给
'bu'ji 补给
'bu'gei'dan'shui 补给淡水
'bu'ji'dan'shui 补给淡水
'bu'ji'dian 补给点
'bu'zhuo'zhan'ji 捕捉战机
'bu'tiao'xi'fu'nv 不调戏妇女
'bu'liang'tian'hou 不良天候
'bu'na'qun'zhong'yi'zhen'yi'xian 不拿群众一针一线
'bu'nue'dai'fu'lu 不虐待俘虏
'bu'sun'huai'zhuang'jia 不损坏庄家
'bu'ban 布板
'bu'ban'xin'hao 布板信号
'bu'gao 布告
'bu'lei 布雷
'bu'lei'che 布雷车
'bu'lei'tan 布雷弹
'bu'lei'dan 布雷弹
'bu'lei'jian 布雷舰
'bu'lei'mi'du 布雷密度
'bu'lei'qi 布雷器
'bu'ni'zhan'zheng 布匿战争
'bu'shi'gan'jun 布氏杆菌
'bu'bing 步兵
'bu'bing'da'zai 步兵搭载
'bu'bing'fu'qiao 步兵浮桥
'bu'bing'wu'qi 步兵武器
'bu'bing'zhan'che 步兵战车
'bu'bu'wei'ying 步步为营
'bu'ce 步测
'bu'hua'ji 步话机
'bu'pao'xie'tong 步炮协同
'bu'qiang 步枪
'bu'shao 步哨
'bu'tan'ji 步谈机
'bu'tan'xie'tong 步坦协同
'bu'dui 部队
'bu'dui'zhang 部队长
'bu'dui'dai'hao 部队代号
'bu'dui'fan'hao 部队番号
'bu'dui'shi'yan 部队试验
'bu'dui'shi'yong 部队试用
'bu'dui'zhu'di 部队驻地
'bu'dui'zhuang'bei 部队装备
'bu'shu 部署
'bu'shu 部属
'cai'jing'ji'lv 财经纪律
'cai'wu 财务
'cai'wu'guan'li 财务管理
'cai'wu'jian'cha 财务检查
'cai'qu'zhu'dong 采取主动
'can'guan'jiao'xue 参观教学
'can'mou 参谋
'can'mou'zhang 参谋长
'can'mou'liu'hui 参谋六会
'can'mou'ren'yuan 参谋人员
'can'mou'ye'wu 参谋业务
'can'di 残敌
'can'fei'jun'ren 残废军人
'can'shi 蚕食
'cang'cu'fang'yu 仓促防御
'cang'ku 仓库
'cang'men 舱门
'cang'shi 舱室
'cao'zhou 操舟
'cao'zhou'ji 操舟机
'cao'zhou'ji'zhi'jia 操舟机支架
'cao'zong'di'lei 操纵地雷
'cao'zong'shou 操纵手
'cao'zong'xing 操纵性
'cao'cao 曹操
'cao'gui 曹刿
'cao'du 漕渡
'cao'du'men'qiao 漕渡门桥
'cao'yuan 草原
'ce'bao'xian'dao 侧保险道
'ce'bi'shi 侧壁式
'ce'di'qian'jin 侧敌前进
'ce'fang'jian'bing 侧方尖兵
'ce'fang'jing'jie 侧方警戒
'ce'hou 侧后
'ce'ji 侧击
'ce'jing'kong'qu 侧净空区
'ce'she 侧射
'ce'she'huo'li 侧射火力
'ce'shi'lei'da 侧视雷达
'ce'wei 侧卫
'ce'xiang 侧向
'ce'di'qin'wu 测地勤务
'ce'de'qin'wu 测地勤务
'ce'ding'fang'wei 测定方位
'ce'hui 测绘
'ce'hui'bao'zhang 测绘保障
'ce'hui'bu'dui 测绘部队
'ce'hui'ren'wu 测绘任务
'ce'ju 测距
'ce'ju'yi 测距仪
'ce'liang'chuan 测量船
'ce'ying 策应
'cha'pu 查铺
'cha'pu'cha'shao 查铺查哨
'cha'shao 查哨
'chai'chu'bao'po 拆除爆破
'chai'pin 拆拼
'chai'pin'xiu'li 拆拼修理
'chang'bo 长波
'chang'bo'tai 长波台
'chang'bo'tong'xin 长波通信
'chang'cheng 长城
'chang'cheng'kang'zhan 长城抗战
'zhang'tan 长弹
'chang'tan 长弹
'zhang'dan 长弹
'chang'dan 长弹
'zhang'dian'she 长点射
'chang'dian'she 长点射
'zhang'ji 长机
'chang'qi 长期
'chang'qu'zhi'ru 长驱直入
'chang'sha'hui'zhan 长沙会战
'chang'tu'dian'hua 长途电话
'chang'zheng 长征
'chang'bei'jun 常备军
'chang'gui'dong'li 常规动力
'chang'gui'wu'qi 常规武器
'chang'gui'zhan'zheng 常规战争
'chang'xing'jun 常行军
'chang'yong'biao'chi 常用表尺
'chang'dao 场道
'chang'jie'deng 场界灯
'chang'nei 场内
'chang'wai 场外
'chao'bian 超编
'chao'chang'bo 超长波
'chao'chang'bo'tong'xin 超长波通信
'chao'di'kong 超低空
'chao'duan'bo 超短波
'chao'duan'bo'dian'tai 超短波电台
'chao'gao'kong 超高空
'chao'ji'mei'zhou'bao 超级美洲豹
'chao'kou'jing 超口径
'chao'qi'fu'yi 超期服役
'chao'ya'dong'ya 超压动压
'chao'yin'su 超音速
'chao'yin'su'fei'ji 超音速飞机
'chao'yue 超越
'chao'yue'she 超越射
'chao'yue'she'ji 超越射击
'chao'yue'zuo'zhan 超越作战
'chao'xian'zhan'zheng 朝鲜战争
'che'zhang 车长
'che'chang 车场
'che'chang'ri 车场日
'che'chuan 车船
'che'fen 车份
'che'gong'li 车公里
'che'gong'li'xian'e 车公里限额
'che'jian'ju'li 车间距离
'che'ju 车距
'che'ku 车库
'che'liang'bao'yang 车辆保养
'che'liang'chu'shi 车辆初驶
'che'liang'fen'ji 车辆分级
'che'liang'hao'pai 车辆号牌
'che'liang'qin'wu 车辆勤务
'che'liang'yun'shu 车辆运输
'che'lun 车轮
'che'lun'shi'he'zai 车轮式荷载
'che'pao 车炮
'che'pao'chang 车炮场
'che'pao'chang'ri 车炮场日
'che'qiao'zhan'yi 车桥战役
'che'ri 车日
'che'xiang 车厢
'che'hang'bu 车行部
'che'hang'bu'kuan'du 车行部宽度
'che'yong 车用
'che'zhe 车辙
'che'zhe'dao 车辙道
'che'zhe'lu'mian 车辙路面
'che'zhe'qiao 车辙桥
'che'chu 撤出
'che'li'zhan'chang 撤离战场
'chen'chuan 沉船
'chen'di'lei 沉底雷
'chen'di'shui'lei 沉底水雷
'chen'wu 沉物
'chen'yu'cheng 陈玉成
'cheng'du'jun'qu 成都军区
'cheng'guo'fa 成果法
'cheng'ji'si'han 成吉思汗
'cheng'tao'bian'pei 成套编配
'cheng'xiang 成像
'cheng'xiang'zhi'liang 成像质量
'cheng'che'xing'jun 乘车行军
'cheng'che'zhan'dou 乘车战斗
'cheng'di'zhi'xi 乘敌之隙
'cheng'zai 乘载
'cheng'qian 程潜
'chi'shui 吃水
'chi'shui'shen 吃水深
'chi'shui'shen'du 吃水深度
'chi'jiu'xing'du'ji 持久性毒剂
'chi'jiu'zhan 持久战
'chi'zhong'dai'ji 持重待机
'chi'bi'zhi'zhan 赤壁之战
'chi'dao 赤道
'chong'dian 充电
'chong'leng 充冷
'chong'yang 充氧
'chong'feng'qiang 冲锋枪
'chong'feng'zhou 冲锋舟
'chong'gou 冲沟
'chong'ji 冲击
'chong'ji'bo 冲击波
'chong'ji'bo'chao'ya 冲击波超压
'chong'ji'bo'dong'ya 冲击波动压
'chong'ji'lu'xian 冲击路线
'chong'ji'mu'biao 冲击目标
'chong'ji'shang 冲击伤
'chong'ji'ya'li 冲击压力
'chong'ji'zhun'bei 冲击准备
'chu'che 出车
'chu'che'ming'ling 出车命令
'chu'di'bu'yi 出敌不意
'chu'dong 出动
'chu'dong'lv 出动率
'chu'dong'shuai 出动率
'chu'fa'ji'chang 出发机场
'chu'fa'xian 出发线
'chu'ji 出击
'chu'lian 出联
'chu'qin 出勤
'chu'qin'che'ri 出勤车日
'chu'bu'jue'xin 初步决心
'chu'shi 初驶
'chu'su 初速
'chu'zhan 初战
'chu'ban 础板
'chu'bei'biao'zhun 储备标准
'chu'bei'li'cheng 储备里程
'chu'lei'jia 储雷架
'chu'chu'she'fang 处处设防
'chu'fen 处分
'chu'fa 触发
'chu'fa'bao'zha 触发爆炸
'chu'fa'shui'lei 触发水雷
'chu'fa'yin'xin 触发引信
'chu'xian 触线
'chu'xian'shui'lei 触线水雷
'chuan'cha 穿插
'chuan'jia 穿甲
'chuan'jia'dan 穿甲弹
'chuan'yun'xia'jiang 穿云下降
'chuan'bang'dai 传帮带
'chuan'bao 传爆
'zhuan'bao 传爆
'chuan'bao'xi'lie 传爆系列
'zhuan'bao'xi'lie 传爆系列
'chuan'bao'yao 传爆药
'zhuan'bao'yao 传爆药
'chuan'di'shi'xian 传递时限
'chuan'dong'zhuang'zhi 传动装置
'chuan'hua'kong 传话孔
'zhuan'lue'zhuan'bian 传略转变
'chuan'shu'chuan'zhen 传输传真
'chuan'shu'dian'bao 传输电报
'chuan'shu'dian'shi 传输电视
'chuan'shu'shu'ju 传输数据
'chuan'shu'xin'xi 传输信息
'chuan'tong'jiao'yu 传统教育
'chuan'tong'zhan'fa 传统战法
'chuan'zhen 传真
'chuan'zhen'dian'bao 传真电报
'chuan'zhen'tong'xin 传真通信
'chuan'ting'yun'shu 船艇运输
'chuan'zai'zhi'yuan 船载支援
'chuang'zao'zhan'ji 创造战机
'chui'zhi'bao'wei 垂直包围
'chui'zhi'deng'lu 垂直登陆
'chui'zhi'gao 垂直高
'chui'zhi'qi'jiang 垂直起降
'chui'zhi'tu'ji 垂直突击
'chui'zhi'zhe'zhang 垂直遮障
'chui'ji'shi 锤击式
'ci'bei 磁北
'ci'hang'xiang 磁航向
'ci'pian'jiao 磁偏角
'ci'tan'yi 磁探仪
'ci'xing'lei 磁性雷
'ci'xing'shui'lei 磁性水雷
'ci'zi'wu'xian 磁子午线
'ci'kou'jing 次口径
'ci'sheng 次声
'ci'dao 刺刀
'ci'ding 刺钉
'ci'sha'xun'lian 刺杀训练
'cong'nan 从难
'cong'shi'zhan'chu'fa 从实战出发
'cong'yan 从严
'cui'hui 摧毁
'cun'zi'wei'zhan 村自为战
'cun'su 存速
'da'zai 搭载
'da'zai'bu'bing 搭载步兵
'da'mu'dan 达姆弹
'da'ba 打靶
'da'fan'chong'ji 打反冲击
'da'ji 打击
'da'kai'tian'xian 打开天线
'da'lao 打捞
'da'sao'zhan'chang 打扫战场
'da'zha'zu 打炸阻
'da'zhuang'men'qiao 打桩门桥
'da'bao'po 大爆破
'da'bu 大部
'da'bu'jian'mie 大部歼灭
'da'dang'liang 大当量
'da'di'ce'liang 大地测量
'da'di'dian 大地点
'da'dui 大队
'da'feng 大风
'da'gu'kou 大沽口
'da'gui'mo 大规模
'da'hou'lue'jiao 大后掠角
'da'jia 大架
'da'jiang 大将
'da'jiang'jun 大将军
'da'jun'qu 大军区
'da'kou'jing 大口径
'da'lu'jia 大陆架
'da'lu'peng 大陆棚
'da'qi'ceng 大气层
'da'qi'tan'ce 大气探测
'da'qi'ya 大气压
'da'san'guan 大散关
'da'si'ma 大司马
'da'wei 大尉
'da'xiao 大校
'da'xing'yun'shu'ji 大型运输机
'da'xiong'xing'zuo 大熊星座
'da'xiu'xi 大休息
'da'xiu'xi'di'yu 大休息地域
'da'xiu 大修
'da'yuan'shuai 大元帅
'da'zhan'lue 大战略
'dai'gong 代供
'dai'guan 代管
'dai'hao 代号
'dai'zi 代字
'dai'jun 带菌
'dai'jun'kun'chong 带菌昆虫
'dai'shi'qiao 带式桥
'dai'shi'zhou'qiao 带式舟桥
'dai'du'di'qu 待渡地区
'dai'ji 待机
'dai'ji'di'yu 待机地域
'dai'ji'dian 待机点
'dai'ji'hu'hang 待机护航
'dai'ji'jian'di 待机歼敌
'dai'ji'she'ji 待机射击
'dai'ming 待命
'dai'yong'zhen'di 待用阵地
'dai'yun'di'qu 待运地区
